,sex,age
722,M,35
723,F,65
724,M,40
725,F,35
726,F,30
727,F,40
728,M,30
729,F,25
730,M,17
731,M,7
732,F,11
733,F,15
734,F,11
735,M,7
736,M,4
737,M,2
738,M,38
739,M,65
740,F,25
741,F,7
742,F,5
743,M,1
744,M,55
745,F,50
746,M,25
747,F,12
748,M,21
749,M,17
750,M,45
751,F,40
752,F,12
753,M,9
754,M,6
755,M,2
756,M,50
757,F,40
758,M,18
759,F,5
760,M,45
761,F,40
762,F,15
763,F,8
764,F,4
765,M,2
766,M,45
767,F,35
768,M,13
769,F,12
770,M,10
771,F,6
772,F,5
773,F,3
774,M,60
775,F,45
776,M,8
777,M,15
778,F,38
779,M,12
780,F,7
781,F,5
782,M,16
783,M,50
784,F,42
785,F,25
786,M,20
787,M,12
788,M,5
789,F,2
790,M,65
791,M,28
792,F,20
793,M,18
794,F,16
795,F,23
796,M,40
797,F,30
798,F,8
799,F,0
800,M,45
801,F,40
802,M,16
803,M,35
804,F,30
805,M,5
806,M,2
807,M,60
808,F,55
809,M,35
810,F,33
811,M,27
812,F,25
813,M,24
814,F,7
815,M,5
816,M,5
817,M,35
818,F,30
819,F,15
820,F,9
821,F,7
822,M,4
823,M,1
824,M,30
825,M,65
826,F,55
827,F,25
828,M,20
829,F,16
830,F,0
831,M,50
832,F,70
833,F,45
834,F,14
835,M,12
836,M,10
837,M,8
838,M,6
839,M,55
840,F,45
841,M,17
842,M,11
843,M,45
844,F,38
845,M,19
846,F,14
847,F,12
848,M,9
849,F,7
850,F,5
851,M,25
852,F,50
853,F,20
854,M,38
855,F,55
856,F,28
857,M,11
858,F,7
859,M,35
860,F,50
861,F,30
862,M,10
863,F,5
864,F,0
865,M,32
866,F,50
867,F,28
868,F,25
869,M,9
870,M,7
871,M,6
872,F,5
873,F,6
874,M,22
875,M,42
876,M,30
877,F,35
878,F,14
879,F,12
880,F,7
881,M,5
882,M,50
883,F,40
884,M,20
885,F,16
886,M,14
887,M,10
888,F,6
889,M,30
890,F,50
891,F,22
892,M,23
893,M,4
894,F,1
895,M,28
896,F,55
897,F,25
898,F,6
899,M,3
900,M,50
901,F,90
902,M,12
903,F,8
904,F,45
905,M,37
906,M,65
907,F,33
908,M,16
909,M,13
910,F,4
911,M,50
912,F,40
913,F,22
914,M,16
915,M,14
916,F,9
917,M,35
918,F,30
919,M,18
920,F,14
921,F,12
922,M,8
923,M,5
924,M,32
925,F,60
926,F,75
927,M,11
928,F,6
929,M,3
930,M,60
931,F,45
932,M,30
933,F,25
934,F,10
935,F,2
936,M,32
937,M,35
938,F,70
939,F,33
940,F,28
941,M,10
942,M,7
943,M,7
944,F,5
945,F,1
946,M,50
947,F,40
948,F,10
949,M,8
950,M,5
951,F,0
952,M,35
953,M,25
954,F,33
955,F,20
956,F,19
957,M,16
958,M,12
959,F,9
960,M,5
961,F,0
962,M,50
963,F,45
964,M,25
965,F,19
966,M,18
967,M,10
968,M,6
969,M,3
970,F,0
971,M,60
972,F,55
973,F,24
974,M,20
975,M,18
976,F,16
977,M,14
978,F,6
979,M,0
980,M,25
981,F,40
982,M,19
983,M,16
984,F,14
985,F,12
986,M,40
987,F,32
988,M,11
989,F,4
990,M,35
991,F,30
992,M,2
993,M,0
994,M,50
995,F,45
996,M,25
997,M,20
998,M,14
999,M,8
1000,F,6
1001,F,2
1002,F,1
1003,M,60
1004,F,55
1005,M,20
1006,F,12
1007,F,6
1008,F,3
1009,M,9
1010,M,60
1011,M,70
1012,F,65
1013,F,45
1014,F,25
1015,F,0
1016,M,25
1017,M,20
1018,M,55
1019,F,23
1020,F,50
1021,M,65
1022,F,55
1023,F,18
1024,M,35
1025,F,25
1026,F,65
1027,M,28
1028,F,25
1029,M,40
1030,F,35
1031,M,30
1032,F,25
1033,F,50
1034,M,25
1035,F,20
1036,M,18
1037,F,35
1038,F,11
1039,M,4
1040,F,0
1041,M,30
1042,F,28
1043,M,5
1044,F,8
1045,M,4
1046,M,0
1047,M,45
1048,F,40
1049,M,12
1050,M,9
1051,M,30
1052,F,25
1053,F,60
1054,F,7
1055,F,4
1056,M,30
1057,F,25
1058,M,65
1059,F,60
1060,M,21
1061,M,12
1062,F,6
1063,F,4
1064,M,1
1065,M,45
1066,F,40
1067,M,20
1068,M,20
1069,F,18
1070,F,15
1071,M,45
1072,F,40
1073,M,24
1074,F,20
1075,M,6
1076,M,40
1077,F,35
1078,M,13
1079,M,11
1080,M,2
1081,M,32
1082,F,28
1083,M,5
1084,M,24
1085,F,20
1086,F,0
1087,M,35
1088,F,25
1089,F,5
1090,M,0
1091,M,42
1092,F,38
1093,F,62
1094,M,21
1095,F,11
1096,M,4
1097,F,0
1098,F,55
1099,F,50
1100,M,11
1101,M,40
1102,M,55
1103,F,50
1104,M,28
1105,F,25
1106,M,40
1107,M,18
1108,F,11
1109,F,9
1110,F,22
1111,M,45
1112,F,39
1113,F,14
1114,F,11
1115,F,9
1116,M,7
1117,M,3
1118,M,23
1119,F,20
1120,M,0
1121,F,45
1122,M,19
1123,M,17
1124,F,5
1125,M,28
1126,M,35
1127,F,30
1128,F,10
1129,F,9
1130,F,6
1131,M,4
1132,F,1
1133,F,50
1134,M,35
1135,F,30
1136,M,6
1137,M,5
1138,F,2
1139,F,65
1140,M,25
1141,F,35
1142,M,6
1143,M,5
1144,M,50
1145,F,40
1146,M,65
1147,M,25
1148,F,23
1149,M,22
1150,M,18
1151,M,14
1152,F,11
1153,F,9
1154,M,8
1155,M,6
1156,M,42
1157,F,35
1158,F,65
1159,M,75
1160,M,17
1161,F,13
1162,F,11
1163,F,8
1164,M,6
1165,M,45
1166,F,40
1167,F,7
1168,M,4
1169,F,0
1170,M,23
1171,F,20
1172,M,0
1173,F,12
1174,M,35
1175,F,30
1176,F,6
1177,M,4
1178,M,0
1179,M,50
1180,F,40
1181,M,18
1182,M,11
1183,M,42
1184,F,37
1185,F,10
1186,F,4
1187,M,3
1188,F,0
1189,M,37
1190,F,26
1191,F,58
1192,M,23
1193,F,11
1194,F,8
1195,F,6
1196,M,3
1197,M,14
1198,M,32
1199,F,28
1200,F,45
1201,M,3
1202,F,7
1203,F,5
1204,M,0
1205,F,50
1206,F,24
1207,M,11
1208,M,3
1209,M,58
1210,M,28
1211,M,19
1212,M,23
1213,M,40
1214,F,35
1215,F,5
1216,M,3
1217,M,6
1218,M,17
1219,M,14
1220,M,12
1221,F,10
1222,M,11
1223,F,60
1224,M,45
1225,F,39
1226,M,19
1227,M,49
1228,F,44
1229,M,15
1230,M,11
1231,M,40
1232,F,37
1233,M,21
1234,F,15
1235,F,2
1236,M,36
1237,F,31
1238,M,14
1239,M,2
1240,M,0
1241,M,35
1242,F,30
1243,F,9
1244,M,2
1245,M,60
1246,F,40
1247,M,21
1248,M,10
1249,M,2
1250,F,7
1251,F,5
1252,M,40
1253,F,36
1254,M,19
1255,M,17
1256,M,15
1257,M,37
1258,F,34
1259,M,12
1260,F,10
1261,F,4
1262,M,45
1263,F,7
1264,M,12
1265,M,40
1266,F,35
1267,M,7
1268,F,6
1269,F,2
1270,F,10
1271,M,38
1272,F,32
1273,F,12
1274,M,10
1275,M,8
1276,M,4
1277,M,30
1278,F,26
1279,M,3
1280,M,25
1281,M,65
1282,F,60
1283,F,17
1284,F,13
1285,M,15
1286,M,37
1287,F,32
1288,M,16
1289,M,12
1290,F,4
1291,M,50
1292,F,46
1293,M,22
1294,F,19
1295,M,9
1296,M,35
1297,F,30
1298,M,10
1299,F,7
1300,F,3
1301,M,18
1302,M,45
1303,F,40
1304,F,12
1305,F,10
1306,F,6
1307,F,5
1308,M,2
1309,M,18
1310,F,44
1311,F,64
1312,M,45
1313,F,42
1314,M,9
1315,M,7
1316,F,2
1317,M,35
1318,F,32
1319,M,13
1320,F,6
1321,F,3
1322,F,0
1323,M,35
1324,F,30
1325,F,16
1326,F,8
1327,M,4
1328,F,2
1329,M,62
1330,F,55
1331,M,30
1332,F,27
1333,M,11
1334,M,7
1335,M,5
1336,F,2
1337,F,55
1338,M,17
1339,F,40
1340,F,15
1341,M,9
1342,M,8
1343,F,3
1344,M,62
1345,F,58
1346,M,35
1347,F,30
1348,M,20
1349,F,17
1350,M,10
1351,F,7
1352,F,5
1353,F,2
1354,M,40
1355,F,35
1356,M,17
1357,M,61
1358,F,57
1359,M,25
1360,M,35
1361,F,30
1362,M,10
1363,F,6
1364,F,3
1365,M,28
1366,F,22
1367,F,55
1368,F,12
1369,M,9
1370,F,2
1371,M,65
1372,F,60
1373,F,28
1374,M,45
1375,F,40
1376,M,25
1377,M,14
1378,M,10
1379,M,8
1380,F,18
1381,F,7
1382,F,6
1383,M,0
1384,M,50
1385,F,47
1386,M,25
1387,F,20
1388,F,32
1389,M,2
1390,M,26
1391,M,60
1392,F,55
1393,F,22
1394,F,24
1395,F,16
1396,F,0
1397,M,60
1398,F,56
1399,F,45
1400,M,55
1401,F,50
1402,M,26
1403,F,20
1404,M,22
1405,F,17
1406,M,18
